Record_ID,Date,Store,Dress_Category,Price,Historical_Demand,Inventory_On_Hand,Lead_Time_Days,Forecast_Demand,Overfill_Underfill_Flag
1,2025-02-01,New York,Black Short Dress,359.87,22,71,11,21,Overfill
2,2025-02-02,New York,Black Short Dress,305.81,19,86,12,17,Overfill
3,2025-02-03,New York,Black Short Dress,396.99,21,52,10,16,Overfill
4,2025-02-04,New York,Black Short Dress,318.34,15,59,14,15,Overfill
5,2025-02-05,New York,Black Short Dress,339.99,11,58,7,10,Overfill
6,2025-02-06,New York,Black Short Dress,346.68,17,63,9,17,Overfill
7,2025-02-07,New York,Black Short Dress,323.09,16,52,11,16,Overfill
8,2025-02-08,New York,Black Short Dress,303.44,24,7,5,21,Underfill
9,2025-02-09,New York,Black Short Dress,320.79,13,5,8,11,Balanced
10,2025-02-10,New York,Black Short Dress,384.23,25,62,6,23,Overfill
11,2025-02-11,New York,Black Short Dress,308.85,20,14,11,20,Balanced
12,2025-02-12,New York,Black Short Dress,332.53,21,61,6,21,Overfill
13,2025-02-13,New York,Black Short Dress,354.27,22,59,13,20,Overfill
14,2025-02-14,New York,Black Short Dress,307.46,20,44,11,19,Overfill
15,2025-02-15,New York,Black Short Dress,381.55,12,62,5,13,Overfill
16,2025-02-16,New York,Black Short Dress,377.13,16,34,9,18,Overfill
17,2025-02-17,New York,Black Short Dress,362.33,23,72,6,19,Overfill
18,2025-02-18,New York,Black Short Dress,366.88,21,22,9,22,Balanced
19,2025-02-19,New York,Black Short Dress,338.29,24,64,7,26,Overfill
20,2025-02-20,New York,Black Short Dress,323.6,21,89,11,17,Overfill
21,2025-02-21,New York,Black Short Dress,320.17,16,76,11,15,Overfill
22,2025-02-22,New York,Black Short Dress,369.55,21,95,9,18,Overfill
23,2025-02-23,New York,Black Short Dress,394.29,27,35,11,24,Overfill
24,2025-02-24,New York,Black Short Dress,388.05,17,85,14,19,Overfill
25,2025-02-25,New York,Black Short Dress,321.84,24,27,8,27,Balanced
26,2025-02-26,New York,Black Short Dress,332.43,21,74,11,24,Overfill
27,2025-02-27,New York,Black Short Dress,342.71,16,26,8,15,Overfill
28,2025-02-28,New York,Black Short Dress,300.7,18,2,12,18,Underfill
29,2025-03-01,New York,Black Short Dress,324.41,29,43,10,25,Overfill
30,2025-03-02,New York,Black Short Dress,370.3,19,87,5,15,Overfill
31,2025-03-03,New York,Black Short Dress,349.72,15,38,5,12,Overfill
32,2025-03-04,New York,Black Short Dress,303.69,15,55,5,17,Overfill
33,2025-03-05,New York,Black Short Dress,390.83,17,95,7,18,Overfill
34,2025-03-06,New York,Black Short Dress,348.95,19,52,10,17,Overfill
35,2025-03-07,New York,Black Short Dress,372.82,25,16,12,24,Balanced
36,2025-03-08,New York,Black Short Dress,363.35,23,97,5,19,Overfill
37,2025-03-09,New York,Black Short Dress,359.09,29,2,8,23,Underfill
38,2025-03-10,New York,Black Short Dress,380.95,20,66,8,21,Overfill
39,2025-03-11,New York,Black Short Dress,393.67,22,38,5,23,Overfill
40,2025-03-12,New York,Black Short Dress,311.35,15,56,11,15,Overfill
41,2025-03-13,New York,Black Short Dress,381.72,14,15,13,14,Balanced
42,2025-03-14,New York,Black Short Dress,399.63,23,1,9,26,Underfill
43,2025-03-15,New York,Black Short Dress,370.04,12,98,7,13,Overfill
44,2025-03-16,New York,Black Short Dress,377.99,25,53,12,28,Overfill
45,2025-03-17,New York,Black Short Dress,366.35,24,88,6,20,Overfill
46,2025-03-18,New York,Black Short Dress,348.56,28,81,7,29,Overfill
47,2025-03-19,New York,Black Short Dress,349.39,23,32,8,21,Overfill
48,2025-03-20,New York,Black Short Dress,384.92,15,7,5,13,Balanced
49,2025-03-21,New York,Black Short Dress,326.52,23,85,10,27,Overfill
50,2025-03-22,New York,Black Short Dress,389.2,35,50,6,32,Overfill
51,2025-03-23,New York,Black Short Dress,319.52,26,96,7,26,Overfill
52,2025-03-24,New York,Black Short Dress,364.55,25,63,5,29,Overfill
53,2025-03-25,New York,Black Short Dress,337.02,11,5,13,12,Balanced
54,2025-03-26,New York,Black Short Dress,342.82,18,92,9,18,Overfill
55,2025-03-27,New York,Black Short Dress,331.69,15,32,6,15,Overfill
56,2025-03-28,New York,Black Short Dress,384.42,17,94,7,17,Overfill
57,2025-03-29,New York,Black Short Dress,335.86,21,85,14,24,Overfill
58,2025-03-30,New York,Black Short Dress,384.87,15,16,13,16,Balanced
