Store,Handbag Type,Color,Material,Size,Manufacturing City,Lead Time (Days),Shipping Time (Days),Total Lead Time (Days),Season,Base Demand,Adjusted Demand,Stock Level,Overfill/Underfill
The Galleria,Kira Chevron Tote,Brown,Jacquard,Mini,Shenzhen,50,16,66,Winter,152,121,18,-103
The Galleria,McGraw Tote,Blue,Leather,Mini,Hanoi,49,14,63,Summer,64,64,54,-10
Westfield World Trade Center,McGraw Tote,Green,Jacquard,Large,Ho Chi Minh City,46,14,60,Summer,218,218,117,-101
Madison Avenue,Britten Tote,Purple,Jacquard,Mini,Hanoi,32,15,47,Spring,196,235,266,31
NorthPark Center,Robinson Tote,Gray,Pebbled Leather,Large,Ho Chi Minh City,44,16,60,Summer,127,127,89,-38
San Francisco Centre,Robinson Tote,Purple,Leather,Mini,Ho Chi Minh City,36,17,53,Fall,174,191,222,31
The Galleria,Ella Tote,Multi,Canvas,Mini,Da Nang,39,18,57,Fall,190,209,19,-190
El Palacio de Hierro (Polanco),Kira Chevron Tote,Multi,Canvas,Small,Da Nang,48,16,64,Winter,155,124,148,24
South Coast Plaza,Ella Tote,Blue,Canvas,Mini,Hanoi,30,15,45,Fall,268,294,247,-47
Madison Avenue,Britten Tote,White,Jacquard,Large,Guangzhou,34,16,50,Summer,255,255,116,-139
The Galleria,Kira Chevron Tote,Purple,Jacquard,Large,Hanoi,32,15,47,Spring,114,136,139,3
Westfield World Trade Center,T Monogram Tote,Red,Canvas,Medium,Hanoi,39,14,53,Spring,298,357,49,-308
The Galleria,Perry Tote,Green,Canvas,Small,Hanoi,45,14,59,Fall,211,232,70,-162
Aventura Mall,Ella Tote,Pink,Pebbled Leather,Large,Guangzhou,50,17,67,Summer,119,119,138,19
Rodeo Drive,Ella Tote,White,Jacquard,Large,Hanoi,50,15,65,Fall,195,214,209,-5
Westfield World Trade Center,Perry Tote,Brown,Jacquard,Mini,Da Nang,44,16,60,Summer,291,291,68,-223
Yorkdale Shopping Centre,Kira Chevron Tote,Pink,Coated Canvas,Large,Ho Chi Minh City,39,17,56,Winter,236,188,169,-19
Bal Harbour Shops,Ella Tote,Pink,Leather,Medium,Shenzhen,44,16,60,Winter,157,125,146,21
Rodeo Drive,McGraw Tote,Black,Canvas,Medium,Guangzhou,34,17,51,Winter,90,72,44,-28
Aventura Mall,Perry Tote,Purple,Leather,Small,Guangzhou,34,18,52,Spring,156,187,172,-15
Westfield World Trade Center,Kira Chevron Tote,Blue,Leather,Mini,Ho Chi Minh City,48,18,66,Summer,188,188,131,-57
Oak Street,Perry Tote,Red,Canvas,Medium,Da Nang,49,15,64,Fall,228,250,73,-177
San Francisco Centre,Kira Chevron Tote,Black,Coated Canvas,Large,Hanoi,39,16,55,Fall,219,240,135,-105
The Galleria,Kira Chevron Tote,Gray,Canvas,Mini,Hanoi,36,16,52,Summer,215,215,109,-106
Rodeo Drive,Ella Tote,Pink,Leather,Medium,Guangzhou,45,18,63,Fall,207,227,107,-120
The Galleria,Ella Tote,Yellow,Jacquard,Small,Ho Chi Minh City,41,14,55,Fall,86,94,7,-87
El Palacio de Hierro (Polanco),Kira Chevron Tote,Brown,Jacquard,Small,Hanoi,32,14,46,Fall,207,227,116,-111
Pacific Centre,Ella Tote,Brown,Canvas,Small,Hanoi,44,15,59,Summer,126,126,43,-83
San Francisco Centre,McGraw Tote,Beige,Leather,Small,Guangzhou,39,17,56,Winter,201,160,50,-110
Aventura Mall,Britten Tote,Purple,Jacquard,Mini,Ho Chi Minh City,49,18,67,Spring,187,224,55,-169
NorthPark Center,Robinson Tote,Pink,Coated Canvas,Large,Hanoi,40,18,58,Summer,154,154,31,-123
Pacific Centre,McGraw Tote,Multi,Coated Canvas,Large,Ho Chi Minh City,38,18,56,Summer,275,275,90,-185
San Francisco Centre,Robinson Tote,White,Canvas,Large,Guangzhou,45,14,59,Spring,189,226,276,50
San Francisco Centre,T Monogram Tote,Blue,Leather,Medium,Da Nang,44,15,59,Fall,163,179,202,23
Pacific Centre,T Monogram Tote,Multi,Leather,Small,Hanoi,45,14,59,Spring,120,144,54,-90
South Coast Plaza,T Monogram Tote,White,Leather,Medium,Hanoi,38,18,56,Fall,252,277,246,-31
El Palacio de Hierro (Polanco),Kira Chevron Tote,White,Jacquard,Large,Guangzhou,42,18,60,Fall,94,103,91,-12
Rodeo Drive,T Monogram Tote,Metallic,Jacquard,Small,Shenzhen,34,14,48,Summer,55,55,4,-51
El Palacio de Hierro (Polanco),Britten Tote,Pink,Leather,Large,Da Nang,33,15,48,Summer,206,206,104,-102
Oak Street,Gemini Link Tote,Brown,Jacquard,Medium,Hanoi,43,14,57,Spring,202,242,150,-92
South Coast Plaza,Gemini Link Tote,Beige,Canvas,Mini,Da Nang,35,17,52,Summer,126,126,10,-116
Pacific Centre,Gemini Link Tote,White,Pebbled Leather,Large,Shenzhen,47,16,63,Spring,263,315,232,-83
Rodeo Drive,Gemini Link Tote,Brown,Leather,Large,Da Nang,40,17,57,Winter,154,123,129,6
Yorkdale Shopping Centre,Kira Chevron Tote,Gray,Jacquard,Large,Da Nang,30,14,44,Fall,74,81,118,37
San Francisco Centre,T Monogram Tote,Multi,Pebbled Leather,Medium,Da Nang,39,16,55,Fall,77,84,9,-75
